"oficina_productora","serie","subserie","descripcion","idioma","medio_conservacion","formato","informacion_publicada"
"Planeación","Informes","Informe Gestión de Recursos","Registro del monitoreo y evaluación de los avances en la gestión institucional y sectorial. El talento humano y los recursos administrativos, tecnológicos y financieros se convierten en el soporte para el cumplimiento de las metas institucionales y de Gobierno.","Español",,"Papel","Publicado"
"Planeación","Informes","Informe Modelo Integrado de Planeación y Gestión","Contiene los avances de la gestión como insumo para el monitoreo, evaluación y control de los avances de la entidad en la implementación de las políticas de desarrollo administrativo.","Español",,"PDF","Disponible"
"Planeación","Informes","Informes Rendición de Cuentas","Consolida Información que debe ser presentada a la Contraloría General de la Nación sobre la administración, manejo y rendimiento de fondos, bienes o recursos públicos, por una vigencia fiscal determinada.","Español",,"PDF","Disponible"
"Planeación","Manuales","Manuales, procesos y procedimientos sig","Sirven como apoyo a las áreas en la implementación, desarrollo, sostenimiento, medición y mejora de los sistemas integrados de gestión, de acuerdo con lo establecido en los planes y proyectos estratégicos de la entidad.","Español",,"PDF","Publicado"
"Planeación","Planes","Plan Anticorrupción y Atención al Ciudadano","Es un instrumento de tipo preventivo para el control de la corrupción, su metodología incluye componentes autónomos e independientes, que contienen parámetros y soporte normativo propio; del Estatuto Anticorrupción nace la obligación para que las entidades formulen un plan en donde se propongan iniciativas dirigidas a combatir la corrupción mediante mecanismos que faciliten su prevención, control y seguimiento.","Español",,"PDF","Publicado"
"Planeación","Planes","Plan de Participación Ciudadana","Hace parte de los derechos ciudadanos, así como de la concepción de un Estado democrático, en busca de dar respuestas a las necesidades expresas de la ciudadanía, brindando un plan de participación ciudadana que les permita ejercer sus derechos democráticos de participación.","Español",,"PDF","Disponible"
"Planeación","Planes","Plan Estratégico Institucional","Contiene información del como se organizan y orientan estratégicamente las acciones de una entidad para alcanzar objetivos acordes con su misión y con el Plan Nacional de Desarrollo","Español",,"PDF","Publicado"
"Planeación","Planes","Planes de gestión del Riesgo","Comprende el conjunto de elementos de control y sus interrelaciones, para que la institución evalúe e intervenga en eventos tanto internos como externos, que puedan afectar de manera positiva o negativa el logro de sus objetivos institucionales, contribuye a que la entidad consolide su Sistema de Control Interno y a que se genere una cultura de autocontrol y autoevaluación al interior. Contiene información que sirve como evidencia del proceso de calidad y toma de decisiones.","Español",,"Word
Papel","Disponible"
"Planeación","Proyectos","Proyectos de Inversión","Expediente que reúne un conjunto de actividades administrativas, con el fin de generar un rendimiento económico a un determinado plazo.","Español",,"Word
Papel","Disponible"
"Planeación","Registros","Registro de la Mejora Continua","Es un enfoque para la mejora de procesos, se basa en la necesidad de revisar continuamente las operaciones de los problemas, la reducción de costos, la racionalización, y otros factores que en conjunto permiten la optimización.","Español",,"Word
Papel","Disponible"
"Comunicaciones","Boletines","Boletines de Comunicaciones Externos","Contienen información relacionada a la coordinación, edición y demás procesos de publicaciones periódicas de la entidad, hacen parte de las evidencias de la gestión misional de la entidad","Español",,"Word","Disponible"
"Comunicaciones","Boletines","Boletines de Comunicaciones Internos","Establecen y ejecutan la estrategia de comunicación interna con el fin de divulgar al interior de la entidad los cambios y procesos que se generen, hacen parte de las evidencias de la gestión misional de la entidad.","Español",,"HTML","Disponible"
"Comunicaciones","Informes","Informe Esquema de Publicación","Presenta toda la información alojada en la página web para conocimiento y acceso público, describe características como formato del documento, fecha de generación, frecuencia de actualización y el área o dependencia responsable de su producción y actualización.","Español",,"Excel
Papel","Disponible"
"Comunicaciones","Informes","Informe Estrategia Digital","Contiene información que sirve como evidencia de la gestión misional de la entidad en cuanto a las paginas Web y las redes sociales","Español",,"PDF","Disponible"
"Gestión Comercial","Planes","Plan de Estrategia Comercial","Recopila el análisis de la situación actual de la entidad e identifica hacia dónde debe dirigirse, se determinan las metas y se exponen las estrategias de mercadeo a utilizarse para el cumplimiento de los objetivos identificados.","Español",,"Word","Disponible"
"Gestión Comercial","Planes","Planes de Mercadeo","Documento que recopila  cómo la  entidad pretende alcanzar sus objetivos de mercadeo para cada marca a través de las diferentes tácticas y estrategias planteadas.","Español",,"Word","Disponible"
"Gestión Comercial","Propuestas","Propuestas Comerciales","Propuestas comerciales, cotizaciones, planes u ofertas de productos y/o servicios para ofrecer los servicios de televisión y radio de la entidad, de acuerdo a las necesidades del cliente.","Español",,"Excel
Papel","Disponible"
"Señal Memoria","Actas","Actas de Comité de Circulación","Evidencian la toma de desiciones en relación a los contenidos que van a ser publicados.","Español",,"Formato controlado / Papel","Disponible"
"Señal Memoria","Contenidos","Contenidos Audiovisuales","Los Contenidos Audiovisuales evidencian la labor y la función misional de la Entidad","Español",,"Discos Duros
USB","Disponible"
"Señal Memoria","Contenidos","Contenidos Sonoros","Los Contenidos Sonoros evidencian la labor y la función misional de la Entidad","Español",,"Excel","Disponible"
"Señal Memoria","Contenidos","Contenidos Web","Los contenidos web se encuentra la información publicada en la Plataforma de la Entidad para la ciudadanía en general.","Español",,"Papel","Disponible"
"Señal Memoria","Informes","Informes de seguimiento","Documento en el cual se refleja la gestión administrativa, actividades realizadas y toma de desiciones en el proceso.","Español",,"word
Papel","Disponible"
"Señal Memoria","Instrumentos Archivisticos","Inventario Documental","El Inventario de Archivo Audiovisual es una subserie documental que contiene información evidencial de la recepción, clasificación y organización del material que ingresa al archivo audiovisual, en cumplimiento de la normatividad archivística vigente, contribuyendo a la gestión misional de la entidad y toma de decisiones.","Español",,"Excel
Script","Disponible"
"Señal Memoria","Proyectos","Proyectos Investigaciones Históricas","Estas investigaciones están asociadas a temas históricos, eventos o información de importancia para la sociedad.  Una vez finalizado el proyecto se transfieren al Archivo Central y se seleccionan aquellos cuyo resultado es importante para estudios académicos, sociales o históricos.","Español",,"Documento de texto","Disponible"
"Señal Memoria","Registros","Registros de Seguimiento y Control de Condiciones Ambientales","Estos documentos hacen parte del seguimiento anual a las mediciones ambientales realizadas a los archivos sonoros y audiovisuales de la Entidad.","Español",,"Formato controlado / Papel","Disponible"
"Señal Memoria","Registros","Registros del Servicio de Acceso a Contenidos Audiovisuales (Cliente Interno)","Es la guía de ruta para el trabajo, establece el cumplimiento de los parámetros establecidos para el acceso y consulta eficaz al archivo audiovisual por parte de usuarios internos y externos.","Español",,"Documento de texto","Disponible"
"Señal Memoria","Registros","Registros del Servicio de Catalogación de Archivo","Servicio de catalogación desarrollado en el marco de la estrategia de señal memoria.","Español",,"Software Koaj","Disponible"
"Señal Memoria","Registros","Registros  del Servicio de Licenciamiento de Contenidos Audiovisuales","servicio que atiende las solicitudes para el suministro del material audiovisual realizada por los productores o usuarios autorizados.","Español",,"Papel
Documento de texto","Disponible"
"Señal Memoria","Registros","Registros  del Servicio de Licenciamiento de Contenidos Sonoros","Las Licencias de Comunicación son el permiso que se otorga para la difusión de sonidos o de imágenes para su recepción por el público en cumplimiento a los requerimientos de la ley y de la entidad.","Español",,"Papel
Documento de texto","Disponible"
"Señal Memoria","Registros","Registros  del Servicio de Tráfico Referencias Nuevas","servicios que atiende las solicitudes internas para el suministro del material audiovisual realizada por los productores o usuarios autorizados por la entidad, para la realización de nuevas producciones.","Español",,"Excel
Script
Papel","Disponible"
