"cname","uid","uid_size_bytes","uid_size_gigabytes"
"www.datos.gov.co","scei-6ce4","638,976","0.00059509277"
"www.datos.gov.co","38wq-iims","638,976","0.00059509277"
"www.datos.gov.co","kwcb-xg8f","638,976","0.00059509277"
"www.datos.gov.co","vrrh-bd4e","638,976","0.00059509277"
"www.datos.gov.co","45iq-fzqv","638,976","0.00059509277"
"www.datos.gov.co","mwhv-ftbd","630,784","0.00058746338"
"www.datos.gov.co","2sza-3ea9","630,784","0.00058746338"
"www.datos.gov.co","7ffd-kpmz","630,784","0.00058746338"
"www.datos.gov.co","rw59-yycd","630,784","0.00058746338"
"www.datos.gov.co","vnic-x983","630,784","0.00058746338"
"www.datos.gov.co","pxcn-5cap","630,784","0.00058746338"
"www.datos.gov.co","hecw-3dai","630,784","0.00058746338"
"www.datos.gov.co","6mei-6732","630,784","0.00058746338"
"www.datos.gov.co","xmfi-vufk","630,784","0.00058746338"
"www.datos.gov.co","w3qc-azr3","630,784","0.00058746338"
"www.datos.gov.co","s5kn-5uxg","630,784","0.00058746338"
"www.datos.gov.co","riak-tm9d","630,784","0.00058746338"
"www.datos.gov.co","d7hk-2aek","630,784","0.00058746338"
"www.datos.gov.co","hux2-dk3u","630,784","0.00058746338"
"www.datos.gov.co","sg9x-tgus","622,592","0.00057983398"
"www.datos.gov.co","g8g6-smp7","622,592","0.00057983398"
"www.datos.gov.co","b5m6-ukkb","622,592","0.00057983398"
"www.datos.gov.co","vmhx-33fv","622,592","0.00057983398"
"www.datos.gov.co","4uas-k737","622,592","0.00057983398"
"www.datos.gov.co","nd7s-qu7f","622,592","0.00057983398"
"www.datos.gov.co","3i3f-z42s","622,592","0.00057983398"
"www.datos.gov.co","8ryc-n6zt","622,592","0.00057983398"
"www.datos.gov.co","vvch-r9tx","622,592","0.00057983398"
"www.datos.gov.co","f4q4-2mu8","622,592","0.00057983398"
"www.datos.gov.co","r3t6-u7xd","622,592","0.00057983398"
"www.datos.gov.co","r3hk-pqrt","622,592","0.00057983398"
"www.datos.gov.co","d9mq-wcai","622,592","0.00057983398"
"www.datos.gov.co","r7xw-ewnd","614,400","0.00057220459"
"www.datos.gov.co","5dpu-htqu","614,400","0.00057220459"
"www.datos.gov.co","tj28-tdvf","614,400","0.00057220459"
"www.datos.gov.co","6y9g-d9u8","614,400","0.00057220459"
"www.datos.gov.co","ybdx-bnxd","614,400","0.00057220459"
"www.datos.gov.co","jjmk-ziuc","614,400","0.00057220459"
"www.datos.gov.co","tgtq-5kes","614,400","0.00057220459"
"www.datos.gov.co","wbia-7xqk","614,400","0.00057220459"
"www.datos.gov.co","43uk-q6uj","614,400","0.00057220459"
"www.datos.gov.co","pdby-95cw","614,400","0.00057220459"
"www.datos.gov.co","tap7-ms78","606,208","0.0005645752"
"www.datos.gov.co","95c7-mm6s","606,208","0.0005645752"
"www.datos.gov.co","vtbx-3477","606,208","0.0005645752"
"www.datos.gov.co","xhaz-ynbn","606,208","0.0005645752"
"www.datos.gov.co","xrdq-pb8b","606,208","0.0005645752"
"www.datos.gov.co","skym-h73k","606,208","0.0005645752"
"www.datos.gov.co","q4kr-ykj3","606,208","0.0005645752"
"www.datos.gov.co","gpg5-57fh","606,208","0.0005645752"
"www.datos.gov.co","sfcd-b3ey","606,208","0.0005645752"
"www.datos.gov.co","hy6h-d4er","606,208","0.0005645752"
"www.datos.gov.co","53gx-j5pc","606,208","0.0005645752"
"www.datos.gov.co","jxpz-2ay4","606,208","0.0005645752"
"www.datos.gov.co","hc5x-8i32","606,208","0.0005645752"
"www.datos.gov.co","7zwj-m2rv","606,208","0.0005645752"
"www.datos.gov.co","iicm-8idh","598,016","0.0005569458"
"www.datos.gov.co","krj5-wbq7","598,016","0.0005569458"
"www.datos.gov.co","6gtu-jxtb","598,016","0.0005569458"
"www.datos.gov.co","gtzq-iwpw","598,016","0.0005569458"
"www.datos.gov.co","pijx-ezcf","598,016","0.0005569458"
"www.datos.gov.co","9j4m-mqw2","598,016","0.0005569458"
"www.datos.gov.co","faq9-5ugu","598,016","0.0005569458"
"www.datos.gov.co","6am4-j2zn","598,016","0.0005569458"
"www.datos.gov.co","5inq-7ruq","598,016","0.0005569458"
"www.datos.gov.co","iebh-8ebz","598,016","0.0005569458"
"www.datos.gov.co","qs5g-uxih","598,016","0.0005569458"
"www.datos.gov.co","kbcd-kt9s","589,824","0.00054931641"
"www.datos.gov.co","8dbv-wsjq","589,824","0.00054931641"
"www.datos.gov.co","gh9t-jybt","589,824","0.00054931641"
"www.datos.gov.co","fi96-mxat","589,824","0.00054931641"
"www.datos.gov.co","h3xx-qi6h","589,824","0.00054931641"
"www.datos.gov.co","pe73-8ci7","589,824","0.00054931641"
"www.datos.gov.co","38f4-dcxg","589,824","0.00054931641"
"www.datos.gov.co","krps-n6sx","589,824","0.00054931641"
"www.datos.gov.co","5bhp-3cxz","589,824","0.00054931641"
"www.datos.gov.co","sjpx-eqfp","589,824","0.00054931641"
"www.datos.gov.co","ewpm-x3f4","589,824","0.00054931641"
"www.datos.gov.co","i8vm-9jeb","589,824","0.00054931641"
"www.datos.gov.co","bvpy-6cm7","589,824","0.00054931641"
"www.datos.gov.co","mcfb-dyz5","581,632","0.00054168701"
"www.datos.gov.co","9dxk-g7bc","581,632","0.00054168701"
"www.datos.gov.co","3q7v-ahm4","581,632","0.00054168701"
"www.datos.gov.co","t5t7-xyr8","581,632","0.00054168701"
"www.datos.gov.co","q59t-e9gs","581,632","0.00054168701"
"www.datos.gov.co","ysx6-4ez9","581,632","0.00054168701"
"www.datos.gov.co","c2ii-iusi","581,632","0.00054168701"
"www.datos.gov.co","8h3j-6nm2","581,632","0.00054168701"
"www.datos.gov.co","en4m-dy9j","581,632","0.00054168701"
"www.datos.gov.co","8hes-t424","581,632","0.00054168701"
"www.datos.gov.co","xhk5-zzj5","581,632","0.00054168701"
"www.datos.gov.co","8nis-cujr","581,632","0.00054168701"
"www.datos.gov.co","i7h7-wmjc","581,632","0.00054168701"
"www.datos.gov.co","fdsu-99r5","581,632","0.00054168701"
"www.datos.gov.co","rue8-jzy7","581,632","0.00054168701"
"www.datos.gov.co","a3d9-v2j7","581,632","0.00054168701"
"www.datos.gov.co","vs7b-kra2","581,632","0.00054168701"
"www.datos.gov.co","kc5v-kqr2","581,632","0.00054168701"
"www.datos.gov.co","v373-gruy","581,632","0.00054168701"
"www.datos.gov.co","yuns-x2t9","581,632","0.00054168701"
"www.datos.gov.co","4t9r-7v7i","581,632","0.00054168701"
"www.datos.gov.co","2q27-mita","581,632","0.00054168701"
"www.datos.gov.co","f62j-zypy","581,632","0.00054168701"
"www.datos.gov.co","drn5-55qm","581,632","0.00054168701"
"www.datos.gov.co","h6cd-mn8d","581,632","0.00054168701"
"www.datos.gov.co","jqqk-i47w","581,632","0.00054168701"
"www.datos.gov.co","akvc-wb77","573,440","0.00053405762"
"www.datos.gov.co","hqe8-pjkj","573,440","0.00053405762"
"www.datos.gov.co","7vjx-5t84","573,440","0.00053405762"
"www.datos.gov.co","n3ef-fpwj","573,440","0.00053405762"
"www.datos.gov.co","g3rx-nbdh","573,440","0.00053405762"
"www.datos.gov.co","58i5-4qkw","573,440","0.00053405762"
"www.datos.gov.co","rgbw-zpke","573,440","0.00053405762"
"www.datos.gov.co","rzk5-3gyn","573,440","0.00053405762"
"www.datos.gov.co","t98f-vddb","573,440","0.00053405762"
"www.datos.gov.co","6rmy-7jnw","573,440","0.00053405762"
"www.datos.gov.co","spve-848d","573,440","0.00053405762"
"www.datos.gov.co","dwzs-jwbu","573,440","0.00053405762"
"www.datos.gov.co","daia-x7u5","573,440","0.00053405762"
"www.datos.gov.co","drfm-i22d","573,440","0.00053405762"
"www.datos.gov.co","nb5s-e67x","573,440","0.00053405762"
"www.datos.gov.co","b82h-4p9i","573,440","0.00053405762"
"www.datos.gov.co","chg7-cf66","573,440","0.00053405762"
"www.datos.gov.co","m2np-e7vs","573,440","0.00053405762"
"www.datos.gov.co","egyp-5926","573,440","0.00053405762"
"www.datos.gov.co","4txm-qziw","573,440","0.00053405762"
"www.datos.gov.co","qas9-5tya","573,440","0.00053405762"
"www.datos.gov.co","gdp2-9wfi","565,248","0.00052642822"
"www.datos.gov.co","ntgi-nejv","565,248","0.00052642822"
"www.datos.gov.co","y8mp-h84j","565,248","0.00052642822"
"www.datos.gov.co","rvy2-d87i","565,248","0.00052642822"
"www.datos.gov.co","airb-8fcy","565,248","0.00052642822"
"www.datos.gov.co","pce4-bu6n","565,248","0.00052642822"
"www.datos.gov.co","qi54-achv","565,248","0.00052642822"
"www.datos.gov.co","tpgj-89nm","565,248","0.00052642822"
"www.datos.gov.co","me9b-uwtw","565,248","0.00052642822"
"www.datos.gov.co","rges-knjs","565,248","0.00052642822"
"www.datos.gov.co","etu6-qzxw","565,248","0.00052642822"
"www.datos.gov.co","vbcy-hvi2","565,248","0.00052642822"
"www.datos.gov.co","nk6n-ym3s","565,248","0.00052642822"
"www.datos.gov.co","pb3w-3vmc","565,248","0.00052642822"
"www.datos.gov.co","3yt6-zvfi","565,248","0.00052642822"
"www.datos.gov.co","22ip-4jk2","565,248","0.00052642822"
"www.datos.gov.co","rfag-apa4","565,248","0.00052642822"
"www.datos.gov.co","q282-rcj5","565,248","0.00052642822"
"www.datos.gov.co","sa7t-epzh","565,248","0.00052642822"
"www.datos.gov.co","hquf-guc3","565,248","0.00052642822"
"www.datos.gov.co","ra6m-qtya","565,248","0.00052642822"
